region,device_RAM,device_storage,new_price_dollars,device_category,condition_category,months_used,tradein_value_dollars
Lagos Island,4,128,379.0,group4_samsung_midrange,good,44,68.22000000000001
South East and Delta,2,32,100.54,group6_transsion,excellent,31,26.140400000000003
Lagos Mainland,4,128,220.42,group4_samsung_midrange,fair,17,66.126
South East and Delta,3,64,108.4,group6_transsion,good,27,23.848
South East and Delta,2,32,93.13,group6_transsion,good,27,20.488599999999998
Lagos Island,4,64,159.0,group5_samsung_lowend,good,21,47.70000000000001
Lagos Mainland,2,32,89.73,group7_others,fair,24,25.124400000000005
South East and Delta,2,32,87.34,group6_transsion,excellent,19,27.9488
West,6,128,196.0,group5_samsung_lowend,fair,24,54.88
South East and Delta,4,64,125.7,group6_transsion,good,12,52.794000000000004
Lagos Island,4,128,147.33,group6_transsion,good,11,61.87860000000001
West,6,128,599.0,group3_samsung_highend,fair,28,155.74
West,4,128,189.0,group6_transsion,fair,13,52.92
South East and Delta,4,64,129.7,group6_transsion,fair,4,50.583
South East and Delta,2,32,96.52,group6_transsion,good,10,40.5384
Lagos Island,6,128,196.0,group5_samsung_lowend,good,24,58.80000000000001
West,2,32,97.71,group6_transsion,good,4,41.0382
Lagos Mainland,4,64,165.29,group6_transsion,good,11,69.4218
West,8,128,483.0,group3_samsung_highend,good,20,178.71
Lagos Mainland,3,64,108.4,group6_transsion,good,27,23.848
South South,4,64,130.0,group5_samsung_lowend,fair,8,50.7
South East and Delta,2,32,87.34,group6_transsion,good,19,26.202000000000005
South South,8,256,209.21,group6_transsion,fair,6,81.59190000000001
Lagos Mainland,3,32,97.25,group5_samsung_lowend,fair,12,37.9275
South South,2,32,80.69,group6_transsion,good,12,33.8898
South East and Delta,1,16,34.37,group6_transsion,fair,43,4.4681
Lagos Island,2,32,80.69,group6_transsion,good,12,33.8898
West,2,32,80.69,group6_transsion,good,12,33.8898
Lagos Mainland,2,32,83.83,group6_transsion,fair,13,23.4724
Lagos Mainland,4,128,220.42,group4_samsung_midrange,fair,17,66.126
Lagos Mainland,4,128,220.42,group4_samsung_midrange,fair,17,66.126
South East and Delta,4,128,180.0,group6_transsion,good,13,54.00000000000001
Lagos Mainland,2,64,136.25,group6_transsion,fair,9,53.1375
South East and Delta,3,32,97.25,group5_samsung_lowend,fair,12,37.9275
South East and Delta,8,128,203.59,group6_transsion,fair,18,57.00520000000001
West,3,32,97.25,group5_samsung_lowend,fair,12,37.9275
South East and Delta,2,32,83.83,group6_transsion,fair,13,23.4724
Lagos Mainland,4,64,130.0,group5_samsung_lowend,fair,12,50.7
South East and Delta,8,128,203.59,group6_transsion,good,18,61.07700000000001
South East and Delta,4,128,157.25,group6_transsion,good,7,66.045
South East and Delta,8,128,212.98,group7_others,good,17,63.894000000000005
Lagos Island,2,32,83.83,group6_transsion,good,13,25.149000000000004
South East and Delta,8,256,319.85,group6_transsion,good,17,95.95500000000003
Lagos Mainland,8,128,220.61,group6_transsion,good,7,92.65620000000001
West,2,64,136.25,group6_transsion,good,9,57.22500000000001
South East and Delta,2,32,97.71,group6_transsion,good,4,41.0382
South East and Delta,2,32,83.21,group6_transsion,good,6,34.9482
South East and Delta,3,64,108.4,group6_transsion,good,27,23.848
West,1,16,61.74,group6_transsion,excellent,43,11.113200000000003
South East and Delta,4,128,160.0,group7_others,excellent,28,41.6
Lagos Mainland,3,32,135.0,group5_samsung_lowend,fair,38,17.55
South South,4,128,176.34,group6_transsion,good,6,74.06280000000001
FCT & Environs,4,64,130.0,group5_samsung_lowend,fair,9,50.7
FCT & Environs,4,64,123.66,group6_transsion,fair,6,48.2274
South East and Delta,2,64,136.25,group6_transsion,excellent,9,61.31249999999999
Lagos Mainland,12,256,1827.96,group2_samsung_premium,good,26,530.1084000000001
Lagos Mainland,12,256,1827.96,group2_samsung_premium,fair,26,475.2696
South East and Delta,2,32,83.83,group6_transsion,fair,13,23.4724
FCT & Environs,4,128,131.75,group6_transsion,fair,12,51.3825
South East and Delta,4,128,162.36,group7_others,fair,10,63.32040000000001
South East and Delta,6,128,395.18,group4_samsung_midrange,fair,8,173.87919999999997
Lagos Mainland,4,128,191.6,group5_samsung_lowend,good,9,80.47200000000001
South South,2,32,62.74,group6_transsion,fair,6,24.468600000000002
Lagos Mainland,8,128,294.85,group6_transsion,fair,27,58.96999999999999
Lagos Island,2,32,96.52,group6_transsion,good,10,40.5384
Lagos Mainland,6,128,177.6,group6_transsion,fair,18,49.728
West,4,64,147.11,group7_others,good,13,44.13300000000001
Lagos Mainland,6,128,177.6,group6_transsion,fair,18,49.728
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,24,53.2
South South,4,64,129.7,group6_transsion,good,28,28.533999999999995
FCT & Environs,4,128,379.0,group4_samsung_midrange,fair,44,60.640000000000015
Lagos Mainland,8,128,214.16,group6_transsion,fair,27,42.83199999999999
Lagos Mainland,4,64,165.29,group6_transsion,good,12,69.4218
Lagos Island,4,128,189.0,group6_transsion,good,13,56.70000000000001
South South,4,64,130.0,group5_samsung_lowend,good,9,54.60000000000001
South East and Delta,4,64,165.29,group6_transsion,good,12,69.4218
South East and Delta,8,256,262.19,group6_transsion,good,4,110.11980000000001
West,4,128,189.0,group6_transsion,good,13,56.70000000000001
South East and Delta,4,128,189.0,group6_transsion,good,13,56.70000000000001
South East and Delta,4,64,119.58,group6_transsion,good,22,35.874
West,4,64,130.0,group5_samsung_lowend,fair,12,50.7
South East and Delta,2,32,84.46,group6_transsion,good,38,12.669
South East and Delta,4,64,179.0,group5_samsung_lowend,good,16,53.70000000000001
South East and Delta,12,256,1249.0,group2_samsung_premium,good,9,636.99
South South,6,128,177.6,group6_transsion,good,18,53.28000000000001
South East and Delta,2,32,140.17,group6_transsion,good,39,21.0255
South East and Delta,3,64,108.4,group6_transsion,fair,28,21.679999999999996
South East and Delta,4,64,131.0,group6_transsion,fair,12,51.09
Lagos Mainland,2,32,73.12,group6_transsion,fair,29,14.623999999999997
Lagos Mainland,3,64,111.96,group6_transsion,good,32,24.631199999999996
South South,8,128,129.63,group7_others,good,19,38.889
South South,2,32,80.69,group6_transsion,fair,14,22.593200000000003
Lagos Mainland,2,32,80.69,group6_transsion,good,15,24.207000000000004
South East and Delta,4,64,122.16,group6_transsion,good,8,51.3072
West,8,128,138.44,group7_others,good,12,58.144800000000004
West,2,32,100.54,group6_transsion,good,32,22.1188
West,3,64,108.4,group6_transsion,good,28,23.848
Lagos Mainland,3,64,94.63,group6_transsion,fair,27,18.925999999999995
Lagos Mainland,2,32,80.69,group6_transsion,fair,12,31.4691
West,2,32,95.82,group6_transsion,fair,41,12.4566
South South,2,32,89.73,group7_others,good,25,19.740599999999997
Lagos Mainland,4,128,174.85,group6_transsion,good,7,73.437
Lagos Mainland,3,64,116.88,group6_transsion,fair,8,45.5832
Lagos Island,4,64,131.0,group6_transsion,good,12,55.02
Lagos Mainland,8,128,129.63,group7_others,fair,20,36.296400000000006
South South,8,128,212.98,group7_others,good,18,63.894000000000005
South East and Delta,2,32,62.74,group6_transsion,fair,6,24.468600000000002
South South,4,256,1149.0,group1_apple,good,39,287.25
South East and Delta,4,128,174.85,group6_transsion,good,7,73.437
South East and Delta,4,64,119.85,group6_transsion,good,19,35.955000000000005
South South,8,128,899.0,group3_samsung_highend,good,46,170.80999999999995
South East and Delta,4,128,191.3,group5_samsung_lowend,fair,4,74.60700000000001
Lagos Island,4,128,103.63,group7_others,good,16,31.089000000000002
North,6,128,395.18,group4_samsung_midrange,good,9,185.7346
Lagos Mainland,3,64,108.4,group6_transsion,fair,28,21.679999999999996
Lagos Mainland,4,64,125.13,group6_transsion,fair,34,25.025999999999993
South East and Delta,2,32,92.92,group6_transsion,fair,29,18.583999999999996
South East and Delta,4,64,190.0,group5_samsung_lowend,fair,25,37.99999999999999
Lagos Island,4,64,123.66,group6_transsion,good,6,51.937200000000004
South East and Delta,3,32,97.25,group5_samsung_lowend,good,13,29.175000000000004
Lagos Mainland,2,32,62.74,group6_transsion,good,6,26.350800000000003
South South,6,128,179.62,group6_transsion,good,5,75.44040000000001
Lagos Island,2,32,80.69,group6_transsion,excellent,13,25.820799999999995
South East and Delta,2,32,83.83,group6_transsion,good,14,25.149000000000004
South East and Delta,4,64,122.16,group6_transsion,good,8,51.3072
Lagos Mainland,2,32,87.34,group6_transsion,good,20,26.202000000000005
Lagos Mainland,4,64,131.0,group6_transsion,fair,12,51.09
South East and Delta,4,128,140.0,group6_transsion,good,29,30.799999999999997
South East and Delta,4,128,379.0,group4_samsung_midrange,fair,45,60.640000000000015
West,8,128,294.85,group6_transsion,good,28,64.86699999999999
South East and Delta,4,64,130.0,group5_samsung_lowend,good,9,54.60000000000001
South East and Delta,6,128,196.0,group5_samsung_lowend,good,25,43.12
FCT & Environs,12,256,1249.0,group2_samsung_premium,fair,10,587.03
South South,4,64,83.26,group7_others,good,16,24.978000000000005
South East and Delta,4,64,139.38,group7_others,good,9,58.53960000000001
FCT & Environs,12,256,1449.0,group2_samsung_premium,fair,29,376.74
Lagos Mainland,8,256,849.0,group3_samsung_highend,good,23,314.13
South East and Delta,4,64,215.0,group4_samsung_midrange,fair,9,94.6
West,2,32,83.83,group6_transsion,good,14,25.149000000000004
Lagos Mainland,3,64,108.4,group6_transsion,fair,28,21.679999999999996
South South,4,128,749.0,group1_apple,good,39,187.25
South East and Delta,4,128,165.23,group6_transsion,fair,5,64.4397
Lagos Island,4,64,87.41,group7_others,good,15,26.223000000000003
South South,4,128,157.25,group6_transsion,good,8,66.045
South East and Delta,12,256,999.0,group3_samsung_highend,good,41,189.80999999999995
Lagos Mainland,3,32,130.0,group5_samsung_lowend,fair,13,36.400000000000006
South East and Delta,3,32,130.0,group5_samsung_lowend,good,13,39.00000000000001
South South,4,128,176.34,group6_transsion,good,7,74.06280000000001
Lagos Mainland,8,128,196.05,group6_transsion,good,13,58.81500000000001
South East and Delta,8,256,215.55,group6_transsion,good,20,64.665
Lagos Mainland,8,256,239.5,group6_transsion,good,15,71.85000000000001
South East and Delta,8,128,212.98,group7_others,fair,19,59.6344
Lagos Mainland,4,64,122.16,group6_transsion,good,8,51.3072
South East and Delta,6,128,617.04,group6_transsion,good,15,185.11200000000002
South East and Delta,6,128,1099.0,group6_transsion,good,15,329.70000000000005
South East and Delta,2,32,37.63,group7_others,good,6,15.804600000000002
South East and Delta,3,32,97.25,group5_samsung_lowend,good,13,29.175000000000004
South East and Delta,8,256,534.14,group3_samsung_highend,good,9,272.4114
South East and Delta,4,64,119.58,group6_transsion,good,23,35.874
South East and Delta,4,64,83.26,group7_others,good,16,24.978000000000005
Lagos Mainland,3,64,108.4,group6_transsion,good,29,23.848
South East and Delta,4,64,83.26,group7_others,good,16,24.978000000000005
South East and Delta,4,64,165.29,group6_transsion,good,13,49.587
South South,4,64,179.0,group5_samsung_lowend,good,16,53.70000000000001
South East and Delta,4,64,130.0,group5_samsung_lowend,good,13,39.00000000000001
South South,8,256,215.55,group6_transsion,fair,20,60.354000000000006
Lagos Mainland,4,64,165.29,group6_transsion,fair,13,46.281200000000005
South East and Delta,8,256,196.0,group7_others,good,10,82.32000000000001
South South,4,64,131.0,group6_transsion,good,12,55.02
South South,6,128,999.0,group3_samsung_highend,good,27,289.71000000000004
South East and Delta,6,128,258.4,group7_others,good,11,108.528
South East and Delta,3,64,112.36,group6_transsion,good,10,47.1912
South East and Delta,4,64,123.66,group6_transsion,good,7,51.937200000000004
South South,4,128,103.63,group7_others,fair,16,29.0164
Lagos Mainland,3,32,111.36,group5_samsung_lowend,fair,2,43.4304
Lagos Mainland,2,32,83.83,group6_transsion,good,14,25.149000000000004
Lagos Mainland,2,64,104.35,group6_transsion,fair,16,29.218
South East and Delta,1,16,74.66,group6_transsion,good,17,22.398000000000003
South East and Delta,2,32,97.71,group6_transsion,good,5,41.0382
South East and Delta,3,64,108.4,group6_transsion,good,29,23.848
FCT & Environs,4,64,121.86,group6_transsion,good,28,26.809199999999997
South East and Delta,2,32,62.74,group6_transsion,good,7,26.350800000000003
West,2,32,89.93,group7_others,good,4,37.77060000000001
South South,2,32,85.85,group7_others,fair,10,33.4815
South East and Delta,2,32,80.69,group6_transsion,good,13,24.207000000000004
South East and Delta,4,128,191.6,group5_samsung_lowend,good,10,80.47200000000001
West,4,64,116.88,group6_transsion,good,20,35.06400000000001
South South,2,32,83.21,group6_transsion,fair,7,32.4519
South East and Delta,6,128,196.0,group5_samsung_lowend,fair,25,39.19999999999999
South East and Delta,2,64,136.25,group6_transsion,good,10,57.22500000000001
South East and Delta,4,64,119.58,group6_transsion,good,24,35.874
Lagos Mainland,6,128,599.0,group3_samsung_highend,fair,30,155.74
FCT & Environs,6,128,395.18,group4_samsung_midrange,fair,10,173.87919999999997
South East and Delta,4,64,123.66,group6_transsion,fair,7,48.2274
South East and Delta,2,32,89.0,group5_samsung_lowend,fair,34,17.799999999999997
South East and Delta,4,64,123.66,group6_transsion,fair,7,48.2274
South East and Delta,2,32,100.54,group7_others,good,9,42.226800000000004
South East and Delta,2,32,62.74,group6_transsion,good,7,26.350800000000003
South South,8,128,125.11,group7_others,good,4,52.546200000000006
South East and Delta,6,128,196.0,group5_samsung_lowend,fair,26,39.19999999999999
South East and Delta,2,64,83.74,group7_others,good,3,35.1708
Lagos Mainland,2,64,106.63,group6_transsion,fair,3,41.5857
South East and Delta,4,64,125.7,group6_transsion,fair,14,35.196000000000005
North,3,64,999.0,group1_apple,fair,63,99.89999999999998
South East and Delta,4,64,143.78,group5_samsung_lowend,good,5,60.387600000000006
South East and Delta,4,64,123.66,group6_transsion,good,7,51.937200000000004
South East and Delta,3,32,97.25,group5_samsung_lowend,fair,14,27.230000000000004
Lagos Mainland,12,256,1799.0,group2_samsung_premium,fair,16,611.66
South South,4,128,749.0,group1_apple,good,40,187.25
Lagos Mainland,3,64,137.75,group6_transsion,good,30,30.304999999999996
Lagos Mainland,4,64,130.0,group5_samsung_lowend,fair,10,50.7
FCT & Environs,8,128,203.59,group6_transsion,fair,19,57.00520000000001
South East and Delta,4,64,150.0,group5_samsung_lowend,fair,2,58.5
West,6,128,475.0,group3_samsung_highend,good,10,242.25
South East and Delta,4,64,165.29,group6_transsion,good,13,49.587
South East and Delta,2,32,80.69,group6_transsion,good,16,24.207000000000004
Lagos Mainland,2,32,100.54,group6_transsion,good,33,22.1188
South East and Delta,2,32,97.71,group6_transsion,good,5,41.0382
South East and Delta,2,32,97.71,group6_transsion,good,5,41.0382
South South,2,32,89.73,group7_others,good,26,19.740599999999997
Lagos Mainland,4,128,191.6,group5_samsung_lowend,good,10,80.47200000000001
South South,8,256,849.0,group3_samsung_highend,good,10,432.99
South East and Delta,4,128,189.0,group6_transsion,excellent,14,60.47999999999999
South East and Delta,4,128,185.98,group6_transsion,fair,6,72.5322
South South,6,64,203.57,group6_transsion,good,41,30.535500000000003
South East and Delta,8,128,220.61,group6_transsion,fair,8,86.03790000000001
South East and Delta,2,64,106.63,group6_transsion,good,3,44.784600000000005
South South,4,128,131.79,group6_transsion,fair,26,26.357999999999993
South East and Delta,4,64,87.41,group7_others,good,15,26.223000000000003
South East and Delta,8,128,316.84,group7_others,good,24,95.052
South East and Delta,2,32,83.21,group6_transsion,good,8,34.9482
South East and Delta,4,128,177.46,group7_others,good,17,53.238000000000014
South East and Delta,4,128,177.46,group7_others,good,17,53.238000000000014
Lagos Mainland,6,128,421.74,group4_samsung_midrange,fair,10,185.5656
South East and Delta,4,128,176.34,group6_transsion,good,8,74.06280000000001
FCT & Environs,8,256,1049.99,group2_samsung_premium,fair,17,356.99659999999994
South East and Delta,3,64,131.76,group6_transsion,good,5,55.3392
Lagos Mainland,8,128,228.49,group6_transsion,fair,13,63.97720000000001
West,4,128,176.34,group6_transsion,good,8,74.06280000000001
Lagos Island,8,128,268.71,group7_others,good,22,80.613
South East and Delta,4,64,123.66,group6_transsion,good,8,51.937200000000004
Lagos Island,4,64,116.88,group6_transsion,good,20,35.06400000000001
Lagos Mainland,2,32,87.34,group6_transsion,good,21,26.202000000000005
Lagos Mainland,2,32,87.34,group6_transsion,fair,21,24.455200000000005
South South,4,64,119.58,group6_transsion,good,24,35.874
South East and Delta,4,128,128.93,group6_transsion,fair,16,36.10040000000001
South East and Delta,4,64,123.66,group6_transsion,fair,7,48.2274
South East and Delta,4,64,165.29,group6_transsion,fair,13,46.281200000000005
South East and Delta,2,32,89.73,group7_others,good,26,19.740599999999997
South East and Delta,4,128,174.85,group6_transsion,fair,9,68.1915
West,4,128,176.34,group6_transsion,good,8,74.06280000000001
FCT & Environs,3,32,135.0,group5_samsung_lowend,fair,40,17.55
South East and Delta,1,16,74.66,group6_transsion,fair,18,20.9048
South East and Delta,4,64,131.73,group6_transsion,good,19,39.519000000000005
South East and Delta,2,32,96.52,group6_transsion,good,12,40.5384
Lagos Mainland,12,256,1249.0,group2_samsung_premium,fair,11,587.03
South East and Delta,2,32,89.93,group6_transsion,good,15,26.979000000000006
South East and Delta,4,64,183.24,group7_others,good,21,54.97200000000001
South East and Delta,4,64,119.58,group6_transsion,fair,3,46.6362
FCT & Environs,2,32,80.69,group6_transsion,fair,24,22.593200000000003
South East and Delta,3,64,116.88,group6_transsion,good,9,49.089600000000004
South East and Delta,6,128,179.62,group6_transsion,good,6,75.44040000000001
South East and Delta,2,32,85.5,group6_transsion,good,29,18.81
South South,8,256,319.85,group6_transsion,good,18,95.95500000000003
South East and Delta,8,256,270.38,group7_others,good,10,113.5596
South East and Delta,2,32,62.74,group6_transsion,good,8,26.350800000000003
West,3,64,108.4,group6_transsion,good,29,23.848
South East and Delta,8,256,1059.0,group2_samsung_premium,fair,5,497.72999999999996
South East and Delta,2,64,104.35,group6_transsion,good,17,31.305000000000003
South East and Delta,6,128,145.0,group6_transsion,good,27,31.899999999999995
South East and Delta,8,128,201.07,group7_others,good,41,30.160500000000003
South East and Delta,3,256,1149.0,group1_apple,good,63,114.89999999999998
South East and Delta,4,64,165.29,group6_transsion,good,13,49.587
South East and Delta,4,128,185.98,group6_transsion,good,6,78.11160000000001
Lagos Mainland,4,64,183.24,group7_others,good,21,54.97200000000001
South East and Delta,2,32,89.93,group7_others,good,4,37.77060000000001
South South,1,16,67.79,group6_transsion,fair,42,8.812700000000001
West,8,128,203.59,group6_transsion,good,20,61.07700000000001
South East and Delta,2,32,89.73,group7_others,good,26,19.740599999999997
South East and Delta,4,64,165.29,group6_transsion,good,13,49.587
South East and Delta,3,64,108.4,group6_transsion,good,30,23.848
South East and Delta,3,64,108.4,group6_transsion,good,29,23.848
South South,2,32,89.93,group6_transsion,good,15,26.979000000000006
South East and Delta,8,256,319.85,group6_transsion,good,19,95.95500000000003
South East and Delta,4,64,143.78,group5_samsung_lowend,good,6,60.387600000000006
Lagos Mainland,6,128,145.0,group6_transsion,fair,27,28.999999999999993
South South,3,64,131.76,group6_transsion,fair,5,51.386399999999995
South East and Delta,2,32,96.52,group6_transsion,fair,12,37.6428
Lagos Mainland,8,128,483.0,group3_samsung_highend,fair,22,164.22
South East and Delta,4,128,160.62,group6_transsion,good,5,67.4604
South East and Delta,2,32,83.83,group6_transsion,fair,15,23.4724
South East and Delta,4,64,159.0,group5_samsung_lowend,good,24,47.70000000000001
Lagos Mainland,2,32,96.52,group6_transsion,good,12,40.5384
South East and Delta,2,32,62.74,group6_transsion,excellent,8,28.232999999999997
South East and Delta,4,64,122.16,group6_transsion,good,9,51.3072
West,4,64,130.0,group5_samsung_lowend,good,11,54.60000000000001
Lagos Mainland,4,128,173.65,group6_transsion,fair,14,48.62200000000001
South East and Delta,8,128,1299.0,group2_samsung_premium,fair,30,337.74
South East and Delta,2,32,95.82,group6_transsion,fair,42,12.4566
Lagos Mainland,4,128,176.34,group6_transsion,fair,8,68.7726
Lagos Mainland,4,128,160.62,group6_transsion,fair,6,62.6418
South East and Delta,4,64,129.7,group6_transsion,good,6,54.474000000000004
South East and Delta,4,128,180.0,group6_transsion,good,15,54.00000000000001
FCT & Environs,2,32,85.85,group7_others,fair,11,33.4815
South East and Delta,4,64,130.0,group5_samsung_lowend,fair,11,50.7
South East and Delta,4,128,174.85,group6_transsion,good,9,73.437
Lagos Mainland,4,64,131.73,group6_transsion,good,20,39.519000000000005
South East and Delta,4,64,131.0,group6_transsion,good,14,39.300000000000004
South East and Delta,4,128,157.25,group6_transsion,good,9,66.045
Lagos Mainland,6,128,599.0,group3_samsung_highend,good,31,173.71
Lagos Mainland,2,64,136.25,group6_transsion,fair,11,53.1375
South East and Delta,4,64,129.7,group6_transsion,good,6,54.474000000000004
West,12,512,1399.99,group2_samsung_premium,good,12,713.9949
Lagos Mainland,4,128,160.62,group6_transsion,fair,6,62.6418
South East and Delta,4,128,147.33,group6_transsion,good,14,44.19900000000001
South East and Delta,4,128,185.98,group6_transsion,excellent,7,83.69099999999999
West,6,128,177.6,group6_transsion,good,20,53.28000000000001
Lagos Mainland,8,128,187.33,group7_others,fair,21,52.45240000000001
South East and Delta,2,32,95.82,group6_transsion,good,42,14.373000000000001
FCT & Environs,1,16,34.37,group6_transsion,fair,46,4.4681
South East and Delta,8,128,277.46,group7_others,good,12,116.53320000000001
South East and Delta,4,128,157.25,group6_transsion,good,9,66.045
South East and Delta,2,32,62.74,group6_transsion,good,8,26.350800000000003
South South,3,64,111.36,group5_samsung_lowend,good,3,46.77120000000001
South East and Delta,4,128,133.29,group7_others,good,10,55.9818
Lagos Mainland,8,128,203.59,group6_transsion,good,20,61.07700000000001
South East and Delta,12,256,1299.99,group2_samsung_premium,good,12,662.9949
Lagos Mainland,1,16,74.66,group6_transsion,fair,18,20.9048
West,4,64,123.66,group6_transsion,fair,8,48.2274
South East and Delta,4,128,185.98,group6_transsion,good,7,78.11160000000001
Lagos Mainland,4,64,129.7,group6_transsion,good,6,54.474000000000004
West,4,64,131.73,group6_transsion,good,20,39.519000000000005
Lagos Mainland,2,32,37.63,group7_others,fair,7,14.6757
South East and Delta,12,256,1249.0,group2_samsung_premium,good,11,636.99
FCT & Environs,6,128,395.18,group4_samsung_midrange,fair,11,173.87919999999997
South East and Delta,8,256,546.0,group3_samsung_highend,good,23,202.02
South South,2,32,97.71,group6_transsion,good,6,41.0382
South East and Delta,8,128,212.98,group7_others,good,20,63.894000000000005
South East and Delta,12,512,1399.99,group2_samsung_premium,fair,12,657.9952999999999
South South,4,64,215.0,group4_samsung_midrange,good,11,101.05
South East and Delta,3,64,108.4,group6_transsion,good,30,23.848
South South,4,64,123.66,group6_transsion,good,8,51.937200000000004
South East and Delta,3,64,125.81,group7_others,good,4,52.8402
South East and Delta,8,256,849.0,group3_samsung_highend,fair,11,399.03
South East and Delta,4,128,189.0,group6_transsion,fair,15,52.92
Lagos Mainland,2,32,92.92,group6_transsion,fair,31,18.583999999999996
South South,8,128,196.05,group6_transsion,good,15,58.81500000000001
Lagos Mainland,4,64,155.25,group6_transsion,good,6,65.20500000000001
South East and Delta,3,32,67.26,group7_others,excellent,5,30.267
West,4,64,106.44,group7_others,good,22,31.932000000000006
South East and Delta,3,64,111.96,group6_transsion,good,35,24.631199999999996
South East and Delta,8,128,203.59,group6_transsion,good,20,61.07700000000001
South South,3,64,116.88,group6_transsion,good,10,49.089600000000004
South East and Delta,4,128,180.0,group6_transsion,good,15,54.00000000000001
Lagos Mainland,4,128,289.0,group4_samsung_midrange,good,11,135.82999999999998
Lagos Mainland,2,64,104.35,group6_transsion,good,17,31.305000000000003
South South,3,64,125.81,group7_others,good,4,52.8402
South East and Delta,6,128,179.62,group6_transsion,excellent,7,80.829
South South,8,256,319.85,group6_transsion,good,19,95.95500000000003
Lagos Mainland,3,64,112.36,group6_transsion,good,11,47.1912
